specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
97,154.8447,0.75779021,272,51941,331,0.3737773,8.981953E-005,7.516279,1.982072,0.08100485
98,154.85507,0.44135834,272,51941,348,0.3414942,6.040508E-005,10.07465,2.057969,0.07595077
99,155.62135,1.2564711,272,51941,367,0.3374851,8.03658E-005,8.221096,1.831827,0.07872649
100,155.42307,0.43554046,272,51941,398,0.3741789,9.381126E-005,9.874632,1.975794,0.06533168
101,156.26912,0.073083389,272,51941,491,0.3220804,0.0001382151,5.214493,1.977239,0.1351913
102,156.44598,0.62503924,272,51941,504,0.3623096,0.0001038475,5.960382,1.847373,0.1079563
103,156.92912,1.0752805,272,51941,606,0.3240656,8.46757E-005,8.790502,1.870821,0.07994302
104,158.61113,-0.68194326,273,51957,57,0.3872045,9.939857E-005,5.126745,2.297571,0.1544205
105,157.61288,-1.1216906,273,51957,206,0.315994,6.950292E-005,7.713498,2.157391,0.1040617
106,156.9416,0.18685243,273,51957,392,0.3241856,0.0001054539,7.147687,1.901329,0.1000381
107,157.37531,0.078029978,273,51957,394,0.3230386,9.58992E-005,5.088068,2.27236,0.1990659
108,158.65388,0.069511339,273,51957,554,0.2805831,0.0001042991,5.474895,1.711477,0.1197065
109,160.88533,-0.1312345,274,51913,72,0.3825409,7.273927E-005,10.06669,1.97721,0.06452155
110,160.90744,-0.19846936,274,51913,80,0.3499377,9.008124E-005,11.23851,1.881536,0.05775644
111,159.83681,-1.1040842,274,51913,136,0.3847365,7.196924E-005,8.42255,1.869639,0.06015252
112,159.97331,-0.58890325,274,51913,193,0.3856396,5.369275E-005,11.31963,2.020083,0.05263139
113,159.6482,-0.76628453,274,51913,212,0.3818693,6.386908E-005,12.344,1.902568,0.04341115
114,159.69497,-0.2019622,274,51913,237,0.3560261,4.454931E-005,12.90782,2.158264,0.07582507
115,158.99289,-0.37309256,274,51913,317,0.3493991,7.183542E-005,10.65094,1.993875,0.0640558
116,159.66501,1.0446604,274,51913,411,0.3844842,9.306319E-005,7.412794,1.753592,0.06735185
117,160.22137,0.2587666,274,51913,485,0.3879612,5.372362E-005,10.18258,2.127984,0.06651416
118,160.2413,0.16054336,274,51913,487,0.394983,0.0001013253,5.080522,2.048544,0.1311441
119,162.34944,-0.9386225,275,51910,4,0.3716057,7.862669E-005,9.888836,1.748455,0.0563925
120,162.58679,-0.87270894,275,51910,19,0.1078994,3.171745E-005,21.45158,1.963273,0.04980633
121,162.21047,-0.72233555,275,51910,46,0.3475071,6.496254E-005,9.596982,1.897766,0.06508952
122,161.14512,-1.0668212,275,51910,207,0.3552396,0.0001285682,6.909088,1.741955,0.07641679
123,161.1874,-0.72625568,275,51910,212,0.3843839,7.513259E-005,9.057983,1.919232,0.06321984
124,161.4281,-0.92147416,275,51910,217,0.3475565,7.35728E-005,7.074161,1.870334,0.0802074
125,160.95299,-0.83362332,275,51910,259,0.3294515,5.75191E-005,13.7864,1.956645,0.04592336
126,160.43213,0.31894848,275,51910,356,0.3879865,9.070308E-005,7.143648,2.16588,0.09888066
127,161.39843,1.1698015,275,51910,449,0.3368225,8.150274E-005,7.350386,1.952894,0.08467431
128,161.74987,0.19967905,275,51910,520,0.3790617,6.755946E-005,7.974378,1.898022,0.07556692
129,162.24026,0.19755667,275,51910,555,0.3913576,7.419829E-005,6.76233,1.955297,0.08435755
130,162.39467,1.1211576,275,51910,614,0.3416893,0.000079397,7.20469,1.830465,0.0794756
131,163.47398,-1.2004383,276,51909,84,0.3806959,6.670341E-005,7.963728,1.91089,0.06900352
132,163.72023,-0.69027132,276,51909,105,0.346181,7.267534E-005,8.479578,1.916677,0.06553154
133,162.95521,-0.24229002,276,51909,236,0.3913078,5.979072E-005,7.196603,1.906937,0.07571653
134,162.09469,0.048715162,276,51909,355,0.3901873,8.235876E-005,8.785644,2.151173,0.07823006
135,162.74077,1.0173642,276,51909,373,0.3453432,8.21487E-005,8.372371,1.773057,0.06528039
136,162.99575,0.84588205,276,51909,401,0.3921534,6.841079E-005,9.194062,1.986227,0.06322221
137,162.85356,1.0224176,276,51909,419,0.3457876,6.113078E-005,11.61222,1.819734,0.04924328
138,163.17456,0.17366371,276,51909,464,0.3922768,7.755668E-005,7.608797,1.949893,0.07623792
139,162.91513,0.68844167,276,51909,473,0.3686267,0.000071376,9.2787,1.82135,0.06193695
140,163.35907,0.40418231,276,51909,492,0.3582934,7.548535E-005,8.273131,1.926827,0.07877236
141,163.8362,0.90771683,276,51909,565,0.3600842,8.096125E-005,7.9162,1.87689,0.07573386
142,164.424,0.16292163,276,51909,598,0.4041968,8.536794E-005,6.937792,1.984744,0.09420518
143,164.27888,1.1426912,276,51909,604,0.3997732,8.190626E-005,6.786432,2.126164,0.1030203
144,164.59242,0.86985431,276,51909,605,0.4001029,8.461792E-005,6.33193,1.989277,0.09674598
145,164.56064,0.94772253,276,51909,609,0.4012997,0.0001070982,5.790597,2.142188,0.1103813
146,164.63727,0.44913092,276,51909,630,0.3951294,6.961372E-005,9.157823,1.724867,0.05390893
147,165.7111,-1.016631,277,51908,60,0.3984694,0.0001014495,5.135537,1.719894,0.1020362
148,165.34123,-1.1971787,277,51908,123,0.3766555,8.643641E-005,6.38847,2.072479,0.09603105
149,165.54573,-0.72186215,277,51908,163,0.3474137,0.0001312249,7.190994,1.960331,0.08611222
150,165.60111,-0.06496285,277,51908,179,0.3869655,9.370115E-005,7.382726,1.981706,0.08308458
151,165.5357,-0.31341146,277,51908,199,0.4033609,9.667519E-005,6.470424,1.562927,0.06140829
152,165.14066,-0.86794928,277,51908,216,0.391092,9.675846E-005,6.243955,1.802065,0.08222836
153,165.27261,-0.53224583,277,51908,223,0.3804685,9.580112E-005,6.306512,1.865818,0.0997896
154,164.33594,-1.1324847,277,51908,292,0.3288162,8.158914E-005,7.559791,2.039145,0.09908369
155,164.3928,0.41555267,277,51908,357,0.3446186,7.389386E-005,6.885837,1.83656,0.08646954
156,164.7173,0.3152923,277,51908,383,0.3932362,7.813457E-005,6.247822,1.638777,0.06957033
157,164.76176,0.061297713,277,51908,395,0.3890216,0.0001207788,5.486838,2.001043,0.1136063
158,164.72763,0.067393998,277,51908,399,0.39132,0.0001055581,6.597474,1.921313,0.08863945
159,165.09232,0.10579219,277,51908,430,0.4001658,9.019188E-005,6.341427,1.816837,0.07371394
160,165.10009,0.039646512,277,51908,440,0.3977987,0.0001312322,5.011848,1.636264,0.0815753
161,165.50041,1.1105058,277,51908,446,0.3974507,0.0001055312,5.147844,1.897234,0.1010629
162,165.31768,0.29431601,277,51908,468,0.3639892,9.439624E-005,6.154737,1.907291,0.09773404
163,165.72575,0.021525891,277,51908,487,0.3867206,0.0001025336,7.142754,1.881425,0.0823062
164,166.04063,0.10363385,277,51908,558,0.3742969,0.0001203022,6.046383,1.990443,0.1046754
165,166.25699,0.17696564,277,51908,600,0.3776578,7.663816E-005,7.510422,1.981611,0.08358759
166,168.10573,-0.51676199,278,51900,105,0.3709999,9.037673E-005,6.915566,1.709183,0.06360324
167,167.26253,-0.71209091,278,51900,140,0.391517,7.461986E-005,6.669718,1.772429,0.07000342
168,166.84848,-0.88799793,278,51900,216,0.3628461,8.391924E-005,9.237896,1.855892,0.06552334
169,166.71052,-0.81119043,278,51900,252,0.3633722,7.717506E-005,9.490348,2.111169,0.07466535
170,167.02992,-0.69551698,278,51900,267,0.3718361,6.708409E-005,9.179284,1.853786,0.06537753
171,166.58459,-1.1033447,278,51900,281,0.3799905,7.77263E-005,7.132263,2.212896,0.111571
172,166.8482,-0.16170806,278,51900,303,0.342376,8.059986E-005,7.074597,2.018474,0.09917708
173,166.75753,0.28172255,278,51900,352,0.3782293,9.372152E-005,7.433671,1.850371,0.07973159
174,166.73438,0.32913342,278,51900,357,0.3744827,8.321374E-005,8.891903,1.809961,0.06338066
175,166.87417,0.33550649,278,51900,388,0.3745646,8.885285E-005,7.071529,2.00886,0.09339599
176,167.16084,1.1356521,278,51900,413,0.3872244,0.000072201,8.820167,1.857873,0.06133334
